name,netid,department,fingerprints,projects,research,citations,h_index,similar,picture,URL,classes
Anthony E. Ambrosini,aambrosi,NEU,"[['Genomic Segmental Duplications', '100%'], ['axonal transport', '48%'], ['kinesin', '47%'], ['Suid alphaherpesvirus 1', '46%'], ['Kinesin', '44%'], ['Axonal Transport', '43%'], ['Comparative Genomic Hybridization', '41%'], ['Cell Fusion', '40%']]",[],"[['Cell-fusion events induced by α-herpesviruses', 'https://collaborate.princeton.edu/en/publications/cell-fusion-events-induced-by-%CE%B1-herpesviruses'], ['Kinesin-3 mediates axonal sorting and directional transport of alphaherpesvirus particles in neurons', 'https://collaborate.princeton.edu/en/publications/kinesin-3-mediates-axonal-sorting-and-directional-transport-of-al'], ['Fine-mapping subtelomeric deletions and duplications by comparative genomic hybridization in 42 individuals', 'https://collaborate.princeton.edu/en/publications/fine-mapping-subtelomeric-deletions-and-duplications-by-comparati'], ['Human subtelomeric duplicon structure and organization', 'https://collaborate.princeton.edu/en/publications/human-subtelomeric-duplicon-structure-and-organization'], ['Human subtelomere structure and variation', 'https://collaborate.princeton.edu/en/publications/human-subtelomere-structure-and-variation']]",311,6,"[['Ileana M. Cristea', 'https://collaborate.princeton.edu/en/persons/ileana-m-cristea'], ['Joshua Akey', 'https://collaborate.princeton.edu/en/persons/joshua-akey'], ['Esteban A. Engel', 'https://collaborate.princeton.edu/en/persons/esteban-a-engel'], ['Clifford Paul Brangwynne', 'https://collaborate.princeton.edu/en/persons/clifford-paul-brangwynne'], ['Martin Helmut Wuhr', 'https://collaborate.princeton.edu/en/persons/martin-helmut-wuhr'], ['Timothy J. Buschman', 'https://collaborate.princeton.edu/en/persons/timothy-j-buschman']]",N/a,https://collaborate.princeton.edu/en/persons/anthony-e-ambrosini,[]
Andrew Wilson Appel,appel,COS,"[['Semantics', '100%'], ['Separation Logic', '77%'], ['Data storage equipment', '75%'], ['Compiler', '49%'], ['Computer programming languages', '34%'], ['Operational Semantics', '32%'], ['Higher-order Logic', '30%'], ['Logic', '28%']]","[['SHF: Small: VeriFFI -- Formally Verified Functional+C programs', 'https://collaborate.princeton.edu/en/projects/shf-small-veriffi-formally-verified-functionalc-programs'], ['Collaborative Research: Expeditions in Computing: The Science of  Deep Specification', 'https://collaborate.princeton.edu/en/projects/collaborative-research-expeditions-in-computing-the-science-of-de'], ['SHF: Medium:  Collaborative Research:  Principled Optimizing Compilation of Dependently Typed Languages', 'https://collaborate.princeton.edu/en/projects/shf-medium-collaborative-research-principled-optimizing-compilati'], ['ARRA: TC:Large:Collaborative Research: Combining Foundational and Lightweight Formal Methods to Build Certifiably Dependable Software', 'https://collaborate.princeton.edu/en/projects/arra-tclargecollaborative-research-combining-foundational-and-lig']]","[['Abstraction and subsumption in modular verification of C programs', 'https://collaborate.princeton.edu/en/publications/abstraction-and-subsumption-in-modular-verification-of-c-programs-2'], ['Ballot-marking devices cannot ensure the will of the voters', 'https://collaborate.princeton.edu/en/publications/ballot-marking-devices-cannot-ensure-the-will-of-the-voters'], ['C-language oating-point proofs layered with VST and Flocq', 'https://collaborate.princeton.edu/en/publications/c-language-oating-point-proofs-layered-with-vst-and-flocq']]",4023,33,"[['David P. Walker', 'https://collaborate.princeton.edu/en/persons/david-p-walker'], ['David I. August', 'https://collaborate.princeton.edu/en/persons/david-i-august'], ['Sharad Malik', 'https://collaborate.princeton.edu/en/persons/sharad-malik'], ['Amit Aryeh Levy', 'https://collaborate.princeton.edu/en/persons/amit-aryeh-levy'], ['Zachary Kincaid', 'https://collaborate.princeton.edu/en/persons/zachary-kincaid'], ['Kai Li', 'https://collaborate.princeton.edu/en/persons/kai-li']]",https://collaborate.princeton.edu//files-asset/48693522/Appel.jpg,https://collaborate.princeton.edu/en/persons/andrew-wilson-appel,[]
Craig B. Arnold,cbarnold,ECE,"[['Lasers', '100%'], ['Chalcogenides', '87%'], ['chalcogenides', '58%'], ['Glass', '46%'], ['lasers', '45%'], ['Pulsed lasers', '44%'], ['Lenses', '35%'], ['Optical Trap', '35%']]","[['MRI: Acquisition of an X-Ray Microscope Supporting Multidisciplinary Fundamental and Applied Research', 'https://collaborate.princeton.edu/en/projects/mri-acquisition-of-an-x-ray-microscope-supporting-multidisciplina'], ['3-D Additive Multiscale Manufacturing Using Near-Field Ultrafast Laser Processing', 'https://collaborate.princeton.edu/en/projects/3-d-additive-multiscale-manufacturing-using-near-field-ultrafast-'], ['EAGER:  Multiphoton polymerization with optical trap assisted nanopatterning', 'https://collaborate.princeton.edu/en/projects/eager-multiphoton-polymerization-with-optical-trap-assisted-nanop'], ['High-Index, Non-Linear Chalcogenide Optics for Subwavelength Laser Processing and Imaging', 'https://collaborate.princeton.edu/en/projects/high-index-non-linear-chalcogenide-optics-for-subwavelength-laser']]","[['A Bioinspired Elastic Hydrogel for Solar-Driven Water Purification', 'https://collaborate.princeton.edu/en/publications/a-bioinspired-elastic-hydrogel-for-solar-driven-water-purificatio'], ['Interfacial Engineering to Tailor the Properties of Multifunctional Ultralight Weight hBN-Polymer Composite Aerogels', 'https://collaborate.princeton.edu/en/publications/interfacial-engineering-to-tailor-the-properties-of-multifunction'], ['Optimization of ultrafast axial scanning parameters for efficient pulsed laser micro-machining', 'https://collaborate.princeton.edu/en/publications/optimization-of-ultrafast-axial-scanning-parameters-for-efficient'], ['Scalable solution processing of amorphous and crystalline chalcogenide films', 'https://collaborate.princeton.edu/en/publications/scalable-solution-processing-of-amorphous-and-crystalline-chalcog'], ['Simulation of impulsively induced viscoelastic jets using the Oldroyd-B model', 'https://collaborate.princeton.edu/en/publications/simulation-of-impulsively-induced-viscoelastic-jets-using-the-old']]",6148,44,"[['Rodney D. Priestley', 'https://collaborate.princeton.edu/en/persons/rodney-d-priestley'], ['Claire F. Gmachl', 'https://collaborate.princeton.edu/en/persons/claire-f-gmachl'], ['Howard A. Stone', 'https://collaborate.princeton.edu/en/persons/howard-a-stone'], ['Luc Deike', 'https://collaborate.princeton.edu/en/persons/luc-deike'], ['Barry P. Rand', 'https://collaborate.princeton.edu/en/persons/barry-p-rand'], ['Lynn Loo', 'https://collaborate.princeton.edu/en/persons/lynn-loo']]",https://collaborate.princeton.edu//files-asset/48142287/Arnold.jpg,https://collaborate.princeton.edu/en/persons/craig-b-arnold,"['MAE 324', 'MSE 506']"
Sanjeev Arora,arora,COS,"[['Polynomials', '100%'], ['Approximation algorithms', '93%'], ['NP-hard', '55%'], ['Learning', '35%'], ['Approximation Algorithms', '33%'], ['Polynomial Time Approximation Scheme', '33%'], ['Deep learning', '31%'], ['Approximation Scheme', '30%']]","[['Going beyond a black-box optimization view of deep learning', 'https://collaborate.princeton.edu/en/projects/going-beyond-a-black-box-optimization-view-of-deep-learning'], ['AF: Large: Collaborative Research: Nonconvex methods and models for learning: Toward algorithms with provable and interpretable guarantees', 'https://collaborate.princeton.edu/en/projects/af-large-collaborative-research-nonconvex-methods-and-models-for-'], ['Unsupervised Learning with Provable Guarantees', 'https://collaborate.princeton.edu/en/projects/unsupervised-learning-with-provable-guarantees'], ['AF:  Small:  Linear Algebra++ and Applications to Machine Learning', 'https://collaborate.princeton.edu/en/projects/af-small-linear-algebra-and-applications-to-machine-learning'], ['AF: Medium:  Towards Provable Bounds for Machine Learning', 'https://collaborate.princeton.edu/en/projects/af-medium-towards-provable-bounds-for-machine-learning']]","[[""Why don't today's deep nets overfit to their training data?"", 'https://collaborate.princeton.edu/en/publications/why-dont-todays-deep-nets-overfit-to-their-training-data'], ['Over-parameterized adversarial training: An analysis overcoming the curse of dimensionality', 'https://collaborate.princeton.edu/en/publications/over-parameterized-adversarial-training-an-analysis-overcoming-th']]",7399,40,"[['Elad Hazan', 'https://collaborate.princeton.edu/en/persons/elad-hazan'], ['Assaf Naor', 'https://collaborate.princeton.edu/en/persons/assaf-naor'], ['Uri Hasson', 'https://collaborate.princeton.edu/en/persons/uri-hasson'], ['Markus Konrad Brunnermeier', 'https://collaborate.princeton.edu/en/persons/markus-konrad-brunnermeier'], ['Brandon Michael Stewart', 'https://collaborate.princeton.edu/en/persons/brandon-michael-stewart'], ['Kenneth Andrew Norman', 'https://collaborate.princeton.edu/en/persons/kenneth-andrew-norman']]",https://collaborate.princeton.edu//files-asset/48142299/Arora.jpg,https://collaborate.princeton.edu/en/persons/sanjeev-arora,[]
Orley Clark Ashenfelter,c6789,ECO,"[['Wine', '100%'], ['Mergers', '64%'], ['Weather', '55%'], ['Auctions', '55%'], ['Climate Change', '38%'], ['Labour Market', '33%'], ['Value of a Statistical Life', '32%'], ['Trade Unions', '32%']]",[],"[['ROUNDTABLE DISCUSSION ON IMMIGRATION', 'https://collaborate.princeton.edu/en/publications/roundtable-discussion-on-immigration'], ['Editorial Essay: Introduction to a Special Issue in Honor of Henry Farber', 'https://collaborate.princeton.edu/en/publications/editorial-essay-introduction-to-a-special-issue-in-honor-of-henry'], ['Predicting Italian Wine Quality from Weather Data and Expert Ratings', 'https://collaborate.princeton.edu/en/publications/predicting-italian-wine-quality-from-weather-data-and-expert-rati']]",2382,26,"[['Henry Stuart Farber', 'https://collaborate.princeton.edu/en/persons/henry-stuart-farber'], ['Pablo D. Fajgelbaum', 'https://collaborate.princeton.edu/en/persons/pablo-d-fajgelbaum'], ['Caio Ibsen Rodrigues de Almeida', 'https://collaborate.princeton.edu/en/persons/caio-ibsen-rodrigues-de-almeida'], ['Nicholas Wyeth Buchholz', 'https://collaborate.princeton.edu/en/persons/nicholas-wyeth-buchholz'], ['Arlene Wong', 'https://collaborate.princeton.edu/en/persons/arlene-wong'], ['Christopher A. Neilson', 'https://collaborate.princeton.edu/en/persons/christopher-a-neilson']]",https://collaborate.princeton.edu//files-asset/48142323/Ashenfelter.jpg,https://collaborate.princeton.edu/en/persons/orley-clark-ashenfelter,[]
David I. August,august,ECE,"[['Computer hardware', '100%'], ['Data storage equipment', '58%'], ['Fault tolerance', '53%'], ['Software pipelining', '43%'], ['Data structures', '42%'], ['Communication', '37%'], ['Thread', '36%'], ['Microprocessor chips', '33%']]","[['Collaborative Research: PPoSS: Planning: A Disciplined Approach to Scaling in the Post-Moore?s Law Era', 'https://collaborate.princeton.edu/en/projects/collaborative-research-pposs-planning-a-disciplined-approach-to-s'], ['SHF:  Small:  The Whole Program Critical Path Approach to Parallelism', 'https://collaborate.princeton.edu/en/projects/shf-small-the-whole-program-critical-path-approach-to-parallelism'], ['SaTC:STARSS:  An Architecture for Restoring Trust in Our Personal Computing Systems', 'https://collaborate.princeton.edu/en/projects/satcstarss-an-architecture-for-restoring-trust-in-our-personal-co'], ['XPS: EXPL: CCA: A Framework for Portable Parallel Performance', 'https://collaborate.princeton.edu/en/projects/xps-expl-cca-a-framework-for-portable-parallel-performance']]","[['AsmDB: Understanding and Mitigating Front-End Stalls in Warehouse-Scale Computers', 'https://collaborate.princeton.edu/en/publications/asmdb-understanding-and-mitigating-front-end-stalls-in-warehouse--2']]",3551,30,"[['Sharad Malik', 'https://collaborate.princeton.edu/en/persons/sharad-malik'], ['David P. Walker', 'https://collaborate.princeton.edu/en/persons/david-p-walker'], ['Andrew Wilson Appel', 'https://collaborate.princeton.edu/en/persons/andrew-wilson-appel'], ['Margaret Rose Martonosi', 'https://collaborate.princeton.edu/en/persons/margaret-rose-martonosi'], ['Robert Endre Tarjan', 'https://collaborate.princeton.edu/en/persons/robert-endre-tarjan'], ['Christopher Greg Brinton', 'https://collaborate.princeton.edu/en/persons/christopher-greg-brinton']]",https://collaborate.princeton.edu//files-asset/48142335/August.jpg,https://collaborate.princeton.edu/en/persons/david-i-august,[]
Robert Hamilton Austin,austin,PHY,"[['Free electron lasers', '100%'], ['deoxyribonucleic acid', '86%'], ['DNA', '69%'], ['Microfluidics', '65%'], ['Nanofluidics', '61%'], ['free electron lasers', '61%'], ['myoglobin', '60%'], ['proteins', '59%']]","[['EAGER: Evolution Game Theory Modeling of Tumor Dormancy', 'https://collaborate.princeton.edu/en/projects/eager-evolution-game-theory-modeling-of-tumor-dormancy'], ['Travel Support Request for Institute for Advanced Study Workshop on Physics Approach to Simplifying Complexity in Biology', 'https://collaborate.princeton.edu/en/projects/travel-support-request-for-institute-for-advanced-study-workshop-']]","[[""A slime mold's remembrance of things past"", 'https://collaborate.princeton.edu/en/publications/a-slime-molds-remembrance-of-things-past'], ['Bootstrapped motion of an agent on an adaptive resource landscape', 'https://collaborate.princeton.edu/en/publications/bootstrapped-motion-of-an-agent-on-an-adaptive-resource-landscape'], ['Emergent Field-Driven Robot Swarm States', 'https://collaborate.princeton.edu/en/publications/emergent-field-driven-robot-swarm-states'], ['An: In vitro tumor swamp model of heterogeneous cellular and chemotherapeutic landscapes', 'https://collaborate.princeton.edu/en/publications/an-in-vitro-tumor-swamp-model-of-heterogeneous-cellular-and-chemo']]",19191,74,"[['James Christopher Sturm', 'https://collaborate.princeton.edu/en/persons/james-christopher-sturm'], ['Stephen Y. Chou', 'https://collaborate.princeton.edu/en/persons/stephen-y-chou'], ['Nai Phuan Ong', 'https://collaborate.princeton.edu/en/persons/nai-phuan-ong'], [""Robert Krafft Prud'homme"", 'https://collaborate.princeton.edu/en/persons/robert-krafft-prudhomme'], ['Yiguang Ju', 'https://collaborate.princeton.edu/en/persons/yiguang-ju'], ['Howard A. Stone', 'https://collaborate.princeton.edu/en/persons/howard-a-stone']]",https://collaborate.princeton.edu//files-asset/48142347/Austin.jpg,https://collaborate.princeton.edu/en/persons/robert-hamilton-austin,"['PHY 104', 'PHY 106']"
Jose L. Avalos,javalos,MOL,"[['Metabolic Engineering', '100%'], ['isobutyl alcohol', '89%'], ['Optogenetics', '86%'], ['Yeast', '74%'], ['Metabolic engineering', '60%'], ['Yeasts', '54%'], ['Isobutanol', '53%'], ['NAD', '51%']]","[['The impact of mitochondrial pyruvate carriers on metabolism and subcellular dynamics', 'https://collaborate.princeton.edu/en/projects/the-impact-of-mitochondrial-pyruvate-carriers-on-metabolism-and-s'], ['Biosensor and Optogenetics for Systems Biology of Yeast Branched-Chain Alcohol Production and Tolerance', 'https://collaborate.princeton.edu/en/projects/biosensor-and-optogenetics-for-systems-biology-of-yeast-branched-'], ['CAREER: Closed-Loop Control of Engineered Metabolism using Biosensors and Optogenetics', 'https://collaborate.princeton.edu/en/projects/career-closed-loop-control-of-engineered-metabolism-using-biosens']]","[['Dynamical Modeling of Optogenetic Circuits in Yeast for Metabolic Engineering Applications', 'https://collaborate.princeton.edu/en/publications/dynamical-modeling-of-optogenetic-circuits-in-yeast-for-metabolic'], ['Lights up on organelles: Optogenetic tools to control subcellular structure and organization', 'https://collaborate.princeton.edu/en/publications/lights-up-on-organelles-optogenetic-tools-to-control-subcellular-'], ['Optogenetic Amplification Circuits for Light-Induced Metabolic Control', 'https://collaborate.princeton.edu/en/publications/optogenetic-amplification-circuits-for-light-induced-metabolic-co'], ['Optogenetic control of the lac operon for bacterial chemical and protein production', 'https://collaborate.princeton.edu/en/publications/optogenetic-control-of-the-lac-operon-for-bacterial-chemical-and-'], ['Corrigendum to “Uncovering the role of branched-chain amino acid transaminases in Saccharomyces cerevisiae isobutanol biosynthesis” [Metab. Eng. 44 (2017) 302–312] (Metabolic Engineering (2017) 44 (302–312), (S1096717617303038), (10.1016/j.ymben.2017.10.001))', 'https://collaborate.princeton.edu/en/publications/corrigendum-to-uncovering-the-role-of-branched-chain-amino-acid-t']]",2669,16,"[['Jared E. Toettcher', 'https://collaborate.princeton.edu/en/persons/jared-e-toettcher'], ['Clifford Paul Brangwynne', 'https://collaborate.princeton.edu/en/persons/clifford-paul-brangwynne'], ['Zemer Gitai', 'https://collaborate.princeton.edu/en/persons/zemer-gitai'], ['Curtis Gove Callan', 'https://collaborate.princeton.edu/en/persons/curtis-gove-callan'], ['Pierre-Thomas Brun', 'https://collaborate.princeton.edu/en/persons/pierre-thomas-brun'], ['Corina E. Tarnita', 'https://collaborate.princeton.edu/en/persons/corina-e-tarnita']]",https://collaborate.princeton.edu//files-asset/48142359/Avalos.png?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/jose-l-avalos,"['ENE 318', 'CBE 245']"
Julien F. Ayroles,jayroles,EEB,"[['Drosophila melanogaster', '100%'], ['Drosophila', '64%'], ['Gene Regulatory Networks', '59%'], ['Genetic Variation', '45%'], ['Genome', '42%'], ['genomics', '41%'], ['Phenotype', '32%'], ['genome', '30%']]","[['Improved Methods for Inference of Genotype-Specific Response to Environmental Toxins', 'https://collaborate.princeton.edu/en/projects/improved-methods-for-inference-of-genotype-specific-response-to-e'], ['A Path to Personalized Phenotypic Prediction: Unlocking the Context-Dependency of Allelic Effects', 'https://collaborate.princeton.edu/en/projects/a-path-to-personalized-phenotypic-prediction-unlocking-the-contex']]","[['Meta-analysis suggests the microbiome responds to Evolve and Resequence experiments in Drosophila melanogaster', 'https://collaborate.princeton.edu/en/publications/meta-analysis-suggests-the-microbiome-responds-to-evolve-and-rese'], ['Modeling epistasis in mice and yeast using the proportion of two or more distinct genetic backgrounds: Evidence for “polygenic epistasis”', 'https://collaborate.princeton.edu/en/publications/modeling-epistasis-in-mice-and-yeast-using-the-proportion-of-two-'], ['The Evolution of Variance Control', 'https://collaborate.princeton.edu/en/publications/the-evolution-of-variance-control'], ['Tm39Seq: A tagmentation-mediated 39 sequencing approach for improving scalability of RNAseq experiments', 'https://collaborate.princeton.edu/en/publications/tm39seq-a-tagmentation-mediated-39-sequencing-approach-for-improv'], ['Urbanization and market integration have strong, nonlinear effects on cardiometabolic health in the Turkana', 'https://collaborate.princeton.edu/en/publications/urbanization-and-market-integration-have-strong-nonlinear-effects']]",3445,22,"[['Sarah D. Kocher', 'https://collaborate.princeton.edu/en/persons/sarah-d-kocher'], ['C. Jessica E. Metcalf', 'https://collaborate.princeton.edu/en/persons/c-jessica-e-metcalf'], ['Barbara E Engelhardt', 'https://collaborate.princeton.edu/en/persons/barbara-e-engelhardt'], ['Curtis Gove Callan', 'https://collaborate.princeton.edu/en/persons/curtis-gove-callan'], ['Jared E. Toettcher', 'https://collaborate.princeton.edu/en/persons/jared-e-toettcher'], ['Corina E. Tarnita', 'https://collaborate.princeton.edu/en/persons/corina-e-tarnita']]",https://collaborate.princeton.edu//files-asset/48142371/Ayroles.jpg,https://collaborate.princeton.edu/en/persons/julien-f-ayroles,"['EEB 388', 'ISC 326']"
Neta A. Bahcall,neta,AST,"[['galaxies', '100%'], ['quasars', '77%'], ['luminosity', '45%'], ['catalogs', '26%'], ['power spectra', '17%'], ['color', '15%'], ['cosmology', '14%'], ['dark matter', '14%']]",[],"[['Profile of James Peebles, Michel Mayor, and Didier Queloz: 2019 Nobel laureates in physics', 'https://collaborate.princeton.edu/en/publications/profile-of-james-peebles-michel-mayor-and-didier-queloz-2019-nobe'], ['Weak lensing reveals a tight connection between dark matter halo mass and the distribution of stellar mass in massive galaxies', 'https://collaborate.princeton.edu/en/publications/weak-lensing-reveals-a-tight-connection-between-dark-matter-halo-'], ['Hyper Suprime-Cam view of the CMASS galaxy sample: Halo mass as a function of stellar mass, size, and Sérsic index', 'https://collaborate.princeton.edu/en/publications/hyper-suprime-cam-view-of-the-cmass-galaxy-sample-halo-mass-as-a-'], ['The stellar halo of isolated central galaxies in the Hyper Suprime-Cam imaging survey', 'https://collaborate.princeton.edu/en/publications/the-stellar-halo-of-isolated-central-galaxies-in-the-hyper-suprim'], [""Weak-lensing Mass Calibration of ACTPol Sunyaev-Zel'dovich Clusters with the Hyper Suprime-Cam Survey"", 'https://collaborate.princeton.edu/en/publications/weak-lensing-mass-calibration-of-actpol-sunyaev-zeldovich-cluster']]",56389,95,"[['Jo Dunkley', 'https://collaborate.princeton.edu/en/persons/jo-dunkley'], ['William Claude Jones', 'https://collaborate.princeton.edu/en/persons/william-claude-jones'], ['Edwin Lewis Turner', 'https://collaborate.princeton.edu/en/persons/edwin-lewis-turner'], ['Lyman Alexander Page', 'https://collaborate.princeton.edu/en/persons/lyman-alexander-page'], ['Peter Michael Melchior', 'https://collaborate.princeton.edu/en/persons/peter-michael-melchior'], ['Eliot Quataert', 'https://collaborate.princeton.edu/en/persons/eliot-quataert'], ['Michael Abram Strauss', 'https://collaborate.princeton.edu/en/persons/michael-abram-strauss'], ['Jenny E. Greene', 'https://collaborate.princeton.edu/en/persons/jenny-e-greene'], ['Jeremy J. Goodman', 'https://collaborate.princeton.edu/en/persons/jeremy-j-goodman'], ['Kasey Wagoner', 'https://collaborate.princeton.edu/en/persons/kasey-wagoner'], ['Paul Joseph Steinhardt', 'https://collaborate.princeton.edu/en/persons/paul-joseph-steinhardt'], ['Eve Charis Ostriker', 'https://collaborate.princeton.edu/en/persons/eve-charis-ostriker']]",https://collaborate.princeton.edu//files-asset/48142399/Bahcall.jpg,https://collaborate.princeton.edu/en/persons/neta-a-bahcall,[]
Gaspar Aron Bakos,gbakos,AST,"[['planet', '100%'], ['planets', '89%'], ['Jupiter', '63%'], ['Jupiter (planet)', '59%'], ['extrasolar planets', '57%'], ['transit', '53%'], ['stars', '51%'], ['radii', '32%']]","[['Finding and Characterizing a Large and Diverse Population of Transiting Exoplanets with HATSouth in Support of NASA Space Missions', 'https://collaborate.princeton.edu/en/projects/finding-and-characterizing-a-large-and-diverse-population-of-tran'], ['Observing High-priority Transit Candidates and Eclipsing Binaries from HATSouth with K2 Long-cadence Photometry', 'https://collaborate.princeton.edu/en/projects/observing-high-priority-transit-candidates-and-eclipsing-binaries'], ['Operating an Improved HAT Network to Discover and Characterize Many Planets, from Super-Earths to Super-Jupiters, Transiting Bright Stars', 'https://collaborate.princeton.edu/en/projects/operating-an-improved-hat-network-to-discover-and-characterize-ma'], ['Operating a Global Network of Southern Hemisphere Automated Telescopes to Detect and Characterize a Multitude of Transiting Exoplanets', 'https://collaborate.princeton.edu/en/projects/operating-a-global-network-of-southern-hemisphere-automated-teles'], ['From Hot Jupiters to Super Earths with HATNet and HATSouth', 'https://collaborate.princeton.edu/en/projects/from-hot-jupiters-to-super-earths-with-hatnet-and-hatsouth']]","[['HAT-P-68b: A transiting hot jupiter around a K5 dwarf star', 'https://collaborate.princeton.edu/en/publications/hat-p-68b-a-transiting-hot-jupiter-around-a-k5-dwarf-star'], ['TOI-954 b and K2-329 b: Short-period saturn-mass planets that test whether irradiation leads to inflation', 'https://collaborate.princeton.edu/en/publications/toi-954-b-and-k2-329-b-short-period-saturn-mass-planets-that-test'], ['A Catalog of Periodic Variables in Open Clusters M35 and NGC 2158', 'https://collaborate.princeton.edu/en/publications/a-catalog-of-periodic-variables-in-open-clusters-m35-and-ngc-2158'], ['A highly eccentric warm jupiter orbiting TIC 237913194', 'https://collaborate.princeton.edu/en/publications/a-highly-eccentric-warm-jupiter-orbiting-tic-237913194'], ['A Search for Transiting Planets in the Globular Cluster M4 with K2: Candidates and Occurrence Limits', 'https://collaborate.princeton.edu/en/publications/a-search-for-transiting-planets-in-the-globular-cluster-m4-with-k']]",9274,53,"[['Joshua Nathan Winn', 'https://collaborate.princeton.edu/en/persons/joshua-nathan-winn'], ['Edwin Lewis Turner', 'https://collaborate.princeton.edu/en/persons/edwin-lewis-turner'], ['Adam S. Burrows', 'https://collaborate.princeton.edu/en/persons/adam-s-burrows'], ['Jeremy J. Goodman', 'https://collaborate.princeton.edu/en/persons/jeremy-j-goodman'], ['Jenny E. Greene', 'https://collaborate.princeton.edu/en/persons/jenny-e-greene'], ['Eliot Quataert', 'https://collaborate.princeton.edu/en/persons/eliot-quataert'], ['James McLellan Stone', 'https://collaborate.princeton.edu/en/persons/james-mclellan-stone']]",https://collaborate.princeton.edu//files-asset/48142411/Bakos.jpeg?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/gaspar-aron-bakos,['AST 205']
